,Available,Booked Private,Hold,Open Trip,Marathon,ONEDAY/2D1N TRIP,DOCK,,,NOTE : UNTUK TANGGAL OPEN TRIP DAPAT DI GANTI PRIVATE TRIP APABILA BELUM ADA BOOKING ROOM. *Dapat dilihat pada excel VINCA ROOM AVAILABLE,,,,,,,
,,,,VINCA PRIVATE TRIP SCHEDULE 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,January,,,,,,,,,,July,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,1,2,3,4,,,,,,1,2,3,4,5
,5,6,7,8,9,10,11,,,,6,7,8,9,10,11,12
,12,13,14,15,16,17,18,,,,13,14,15,16,17,18,19
,19,20,21,22,23,24,25,,,,20,21,22,23,24,25,26
,26,27,28,29,30,31,,,,,27,28,29,30,31,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,February,,,,,,,,,,August,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,,1,,,,,,,,,1,2
,2,3,4,5,6,7,8,,,,3,4,5,6,7,8,9
,9,10,11,12,13,14,15,,,,10,11,12,13,14,15,16
,16,17,18,19,20,21,22,,,,17,18,19,20,21,22,23
,23,24,25,26,27,28,,,,,24,25,26,27,28,29,30
,,,,,,,,,,,31,,,,,,
,,,,,,,,,,,,,,,,,
,,March,,,,,,,,,,September,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,,1,,,,,1,2,3,4,5,6
,2,3,4,5,6,7,8,,,,7,8,9,10,11,12,13
,9,10,11,12,13,14,15,,,,14,15,16,17,18,19,20
,16,17,18,19,20,21,22,,,,21,22,23,24,25,26,27
,23,24,25,26,27,28,29,,,,28,29,30,,,,
,30,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,April,,,,,,,,,,October,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,1,2,3,4,5,,,,,,,1,2,3,4
,6,7,8,9,10,11,12,,,,5,6,7,8,9,10,11
,13,14,15,16,17,18,19,,,,12,13,14,15,16,17,18
,20,21,22,23,24,25,26,,,,19,20,21,22,23,24,25
,27,28,29,30,,,,,,,26,27,28,29,30,31,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,May,,,,,,,,,,November,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,1,2,3,,,,,,,,,,1
,4,5,6,7,8,9,10,,,,2,3,4,5,6,7,8
,11,12,13,14,15,16,17,,,,9,10,11,12,13,14,15
,18,19,20,21,22,23,24,,,,16,17,18,19,20,21,22
,25,26,27,28,29,30,31,,,,23,24,25,26,27,28,29
,,,,,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,,
,,June,,,,,,,,,,December,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,1,2,3,4,5,6,7,,,,,1,2,3,4,5,6
,8,9,10,11,12,13,14,,,,7,8,9,10,11,12,13
,15,16,17,18,19,20,21,,,,14,15,16,17,18,19,20
,22,23,24,25,26,27,28,,,,21,22,23,24,25,26,27
,29,30,,,,,,,,,28,29,30,31,,,
